year,variable,std,lon,lat,ENSOMIEV29,ENSOMIEV30,ENSOMIEV31,ENSOMIEV32,ensomiev1,ensomiev2,ensomiev3,ensomiev4,ensomiev5,ensomiev6,ensomiev7,ensomiev8,ensomiev9,ensomievG,PDO9,PDO10,PDO11,PDO12,pdo1,pdo2,pdo3,pdo4,pdo5,pdo6,pdo7,pdo8,pdo9,pdoG,NAO9,NAO10,NAO11,NAO12,Nao1,Nao2,Nao3,Nao4,Nao5,Nao6,Nao7,Nao8,Nao9,GNAO,AO9,AO10,AO11,AO12,Ao1,Ao2,Ao3,Ao4,Ao5,Ao6,Ao7,Ao8,Ao9,GAO,HAIBING9,HAIBING10,HAIBING11,HAIBING12,haibing1,haibing2,haibing3,haibing4,haibing5,haibing6,haibing7,haibing8,haibing9,Ghaibing
1979,X1001,1.177,105.2,35.6,-0.106,0.846,2.488,-0.204,1.111,-0.387,0.479,0.444,-1.133,-0.711,0.532,-1.006,1.086,0.264538462,0.889,0.917,0.162,-0.494,0.6,1.037,0.893,0,1.522,-1.201,-1.903,-0.054,-1.022,0.103538462,-0.065,2.535,-2.591,-1.9,0.625,-0.787,0.5,0.684,1.863,0.127,2.062,-1.557,-3.101,-0.123461538,-0.377,-0.689,0.491,0.578,0.909,1.349,1.889,1.253,1.118,0.619,-0.855,0.585,-0.313,0.504384615,-0.378,-1.309,-1.882,0.302,-1.438,0.366,0.009,-0.642,-0.041,0.426,-2.158,0.104,0.093,-0.503692308
1980,X1001,1.065,105.2,35.6,-1.259,0.178,0.431,-1.934,0.279,-0.976,1.715,-1.564,0.359,1.106,0.416,-0.983,0.459,-0.136384615,-1.628,0.555,-0.493,0.018,1.136,-0.76,0.477,-0.394,0.602,0.03,1.837,0.67,-0.87,0.090769231,-0.452,1.09,-0.368,-0.935,-1.913,-0.459,-0.39,-0.888,-0.983,-0.604,-0.932,-0.131,1.385,-0.429230769,-1.396,0.651,0.292,-1.096,-1.21,-0.943,0.068,0.018,-0.712,1.385,1.636,-0.051,0.357,-0.077,-1.263,1.49,-1.225,-1.918,-0.767,0.4,1.045,0.115,0.663,-0.442,0.418,-0.01,-1.401,-0.222692308
1981,X1001,1.115,105.2,35.6,1.684,-0.875,0.189,-0.311,-0.076,0.34,0.453,0.014,0.336,-0.886,0.807,1.469,-2.174,0.074615385,-1.342,-1.056,-0.704,-0.177,0.07,0.942,-0.312,-0.591,0.923,1.117,0.139,0.182,-0.612,-0.109307692,0.392,-0.445,1.571,1.079,0.689,2.392,-0.673,-1.251,-0.628,0.597,-0.89,-1.314,-0.263,0.096615385,-0.338,-1.742,1.018,1.003,-0.115,-0.779,0.373,-1.422,0.618,-1.487,0.222,-0.491,1.674,-0.112769231,-0.897,0.326,0.15,0.541,0.033,0.262,-0.483,-0.518,1.38,0.722,-2.152,0.98,-0.317,0.002076923
1982,X1001,1.093,105.2,35.6,0.911,0.941,-1.342,-0.422,1.395,-1.559,-0.003,-0.516,0.811,0.695,1.253,0.251,0.618,0.233307692,0.611,1.25,-1.184,-0.136,0.816,-0.447,-2.244,0.926,1.384,1.741,0.439,1.539,0.44,0.395,-0.754,0.992,-0.343,0.374,-1.579,0.356,1.027,-1.002,0.201,-0.829,0.852,0.233,-0.235,-0.054384615,-0.681,2.692,0.47,1.604,0.704,-0.279,0.836,-0.124,-0.231,0.639,1.796,-1.201,0.789,0.539538462,-0.131,-0.347,-0.603,1.259,-0.157,1.384,1.251,-1.33,0.584,-1.911,0.506,0.568,-1.51,-0.033615385
1983,X1001,0.979,105.2,35.6,0.237,0.171,0.003,0.682,0.165,-2.629,-2.257,-1.191,0.416,0.403,0.77,-0.43,-2.305,-0.458846154,-0.056,-1.277,-1.139,-0.123,-0.247,0.862,-0.486,-0.143,-1.089,-0.557,0.017,-0.417,-0.712,-0.412846154,0.4,0.701,1.55,-0.262,-0.338,-0.289,0.111,-0.509,-0.191,-0.595,-0.116,0.874,0.567,0.146384615,-0.044,-0.81,-0.024,1.498,0.362,-0.983,0.055,2.638,0.323,0.375,0.501,-0.275,-2.38,0.095076923,-1.835,1.261,-1.183,1.408,0.863,0.345,0.291,-0.929,-0.029,1.297,0.425,1.498,-0.724,0.206769231
1984,X1001,1.382,105.2,35.6,1.218,-1.063,-0.221,1.009,1.578,1.47,-1.225,-0.413,1.594,1.076,-1.078,-1.579,-0.447,0.147615385,0.847,-0.479,-0.846,-2.177,-0.154,-0.222,-2.924,1.559,-0.937,-0.12,-1.557,0.874,0.21,-0.455846154,0.009,1.758,-0.683,0.229,-0.147,1.089,0.676,0.864,-1.875,-0.269,0.952,0.36,2.754,0.439769231,-0.69,-1.274,-0.055,0.389,-0.355,-1.076,-0.328,2.412,-0.586,0.37,0.632,-0.279,-0.86,-0.130769231,0.72,-0.778,1.443,0.493,-0.91,-1.707,-0.614,-0.928,-0.145,1.25,-0.108,-0.147,-1.274,-0.208076923
1985,X1001,1.112,105.2,35.6,-1.339,-1.388,-0.011,-0.726,-0.062,2.273,-0.319,0.372,-0.386,-0.597,0.154,0.193,0.299,-0.118230769,1.433,0.334,1.247,0.001,0.075,-0.61,1.774,-0.783,0.329,1.713,-1.585,0.141,1.11,0.398384615,-1.656,-0.65,0.74,1.257,-0.674,-1.395,-0.642,0.388,-1.229,-0.729,0.804,-0.858,-1,-0.434153846,-1.022,-0.938,0.778,1.716,-1.024,0.551,1.194,0.994,-0.267,0.632,1.313,1.112,0.33,0.413,1.242,0.523,-0.964,0.944,-0.514,1.431,-0.543,-1.224,1.309,0.727,0.965,0.635,-0.966,0.274230769
1986,X1001,0.623,105.2,35.6,0.661,2.087,-0.575,0.806,0.614,-0.455,0.712,0.092,-2.153,-0.581,-0.399,-0.497,-1.428,-0.085846154,0.913,0.281,0.695,0.128,-1.11,-1.228,0.034,-1.844,-0.48,-0.403,0.881,2.162,0.543,0.044,1.734,0.887,-0.348,-0.114,-0.569,-0.118,-2.768,0.073,0.819,-0.254,-0.019,-0.335,-0.67,-0.129384615,-0.415,0.246,0.202,0.404,1.841,0.263,-1.287,-0.196,1.169,-1.511,-0.043,-0.288,0.026,0.031615385,-1.635,-0.331,-0.899,0.792,-0.875,-0.323,0.207,-0.333,-0.529,0.311,1.2,0.099,-0.849,-0.243461538
1987,X1001,1.066,105.2,35.6,-0.523,-0.679,-0.687,1.424,-1.546,0.761,-0.323,0.693,0.026,0.302,-0.006,-0.086,1.267,0.047923077,0.382,0.589,0.275,0.412,-1.206,-0.998,1.261,-0.16,0.511,-1.01,0.362,0.028,1.248,0.130307692,2.091,2.619,0.908,-0.2,0.471,0.701,-0.468,0.808,-2.537,2.366,-0.83,-0.554,0.561,0.456615385,0.389,-1.031,-0.435,-0.262,-2.446,0.051,1.712,-0.406,-0.12,0.573,-0.723,0.831,-0.196,-0.158692308,1.802,0.566,-0.699,1.293,1.416,-0.846,-0.352,0.208,-1.261,-0.915,0.6,0.265,-0.478,0.123
1988,X1001,0.836,105.2,35.6,0.684,-1.856,-0.721,-0.784,-0.112,-0.008,0.544,0.941,0.65,0.306,0.917,-0.207,1.215,0.120692308,0.552,0.877,1.716,1.367,-0.291,-0.363,-0.174,0.912,-0.07,0.349,-0.73,0.128,0.088,0.335461538,1.064,-2.102,-1.849,-0.346,1.301,-1.121,0.144,1.079,0.447,0.953,1.257,-0.444,-1.576,-0.091769231,-0.411,-0.533,0.695,-0.227,-1.217,0.051,1.26,-0.883,-0.417,-0.187,0.447,2.096,-1.436,-0.058615385,1.544,0.496,0.894,-1.829,-0.173,0.352,-0.361,-1.059,-1.738,-1.502,0.884,-0.344,1.694,-0.087846154
1989,X1001,0.735,105.2,35.6,-0.061,0.533,-0.215,-0.652,-0.022,1.474,-1.064,0.828,-0.401,1.374,0.276,0.776,-0.675,0.167,0.145,-0.81,1.612,0.037,-1.402,-0.04,2.076,-0.153,0.706,2.378,-1.429,-0.353,0.264,0.233153846,-0.413,0.878,0.204,-0.204,0.037,-0.485,2.009,-1.57,-1.422,-0.762,-0.674,-0.206,-0.04,-0.203692308,-1.424,0.24,-0.363,0.745,0.709,1.296,1.157,-0.379,-0.295,0.16,0.589,-1.044,1.251,0.203230769,-0.344,0.769,-0.368,-0.814,-0.754,0.535,-0.413,1.232,-0.14,1.009,-0.816,1.903,0.089,0.145230769
1990,X1001,0.918,105.2,35.6,0.633,0.31,1.368,0.651,-0.758,0.554,-0.274,-0.324,1.401,0.485,0.155,-0.069,1.121,0.404076923,1.708,-1.287,0.903,0.271,0.096,0.514,-0.899,-1.579,-1.607,-0.752,0.692,-2.087,-0.983,-0.385384615,-0.589,1.322,1.357,-1.971,-0.595,0.423,-0.031,-0.121,-0.158,2.605,0.956,0.73,0.225,0.319461538,0.741,-0.244,-1.378,1.063,1.388,0.056,1.134,0.722,0.239,-0.376,0.363,-0.314,-0.392,0.230923077,0.448,0.264,1.224,-0.77,1.218,0.177,0.868,-2.232,-0.659,0.02,1.098,-1.006,-1.775,-0.086538462
1991,X1001,0.815,105.2,35.6,1.336,-1.354,1.049,0.183,-1.036,0.204,0.217,-1.328,1.095,0.145,-0.12,-0.178,0.197,0.031538462,0.052,-1.168,-1.183,-1.428,0.798,-0.076,0.838,-0.583,0.703,-0.473,-0.906,-1.974,0.631,-0.366846154,1.09,0.489,-0.844,-0.154,-0.665,-1.39,-2.279,-0.211,-0.038,-0.612,0.783,-1.023,0.248,-0.354307692,-0.975,0.059,2.223,-1.053,0.719,0.726,3.102,0.207,-1.021,0.723,0.076,0.778,-0.089,0.421153846,-0.905,0.644,0.317,-0.299,-0.201,-0.385,-0.372,-0.901,-1.224,1.752,-0.994,-0.171,-1.976,-0.362692308
1992,X1001,0.912,105.2,35.6,0.007,-1.943,-0.36,0.549,0.948,-1.799,-0.359,-0.28,0.537,0.843,0.397,2.373,0.65,0.120230769,0.807,0.574,1.433,0.1,-0.882,1.232,-0.011,-0.039,-1.846,-0.104,-0.299,-0.136,-1.737,-0.069846154,0.94,0.574,1.657,2.298,0.716,-2.023,-0.481,1.296,1.255,0.22,-2.062,-0.455,0.054,0.306846154,-2.274,-0.928,-0.209,0.433,0.732,0.157,-0.714,-1.795,1.127,0.96,-0.618,1.298,1.23,-0.046230769,-0.506,-0.986,1.127,-0.221,1.422,1.14,-0.229,0.845,-0.938,-0.726,0.944,-1.125,-0.891,-0.011076923
1993,X1001,0.96,105.2,35.6,1.018,-0.116,-1.686,1.405,0.914,1.083,0.113,1.17,0.07,-0.544,-1.179,1.087,0.671,0.308153846,-0.94,-0.463,-0.202,-1.555,0.052,-1.24,0.727,1.304,-0.018,0.059,0.788,0.092,-1.355,-0.211615385,1.097,-0.754,-0.405,-0.134,-0.464,-0.291,-0.989,-0.394,-0.472,1.259,-1.919,1.42,0.7,-0.103538462,-0.131,-0.531,-0.34,-0.479,-0.394,-0.481,1.624,1.889,-0.36,-0.206,-0.749,0.176,-1.547,-0.117615385,0.296,1.09,-0.414,-0.403,-1.244,1.591,-1.561,1.176,0.38,-1.071,-0.088,-1.042,1.521,0.017769231
1994,X1001,0.776,105.2,35.6,-1.188,1.139,-0.845,0.387,-1.299,-0.351,-0.671,-0.121,-0.552,1.093,-0.422,0.13,-1.284,-0.306461538,0.039,0.413,-0.243,1.998,-1.541,0.555,-1.325,1.123,0.47,-0.389,-0.884,-0.69,0.364,-0.008461538,-0.267,-0.735,-0.562,0.656,-1.547,2.036,0.503,0.141,-0.544,1.165,-0.829,0.813,-0.377,0.034846154,-0.238,-0.487,1.876,0.296,0.114,0.36,0.173,-0.442,-0.406,0.256,-1.406,-1.562,-0.633,-0.161461538,0.948,-1.842,-1.097,0.017,1.463,0.28,-0.468,0.357,-2.122,-0.731,1.485,-1.099,1.669,-0.087692308
1995,X1001,1.211,105.2,35.6,-0.722,0.636,-0.458,1.052,0.424,-1.403,0.374,-1.637,-0.177,-1.023,1.617,-0.731,-2.026,-0.313384615,-1.998,1.183,0.238,-0.357,0.935,0.917,2.238,0.811,-0.795,0.478,-1.324,0.616,-0.92,0.155538462,1.151,-1.025,-1.109,-0.367,0.044,-0.796,-0.255,1.139,0.842,1.042,1.627,0.83,0.235,0.258307692,-0.007,1.636,1.577,-0.923,1.817,1.274,-0.866,1.219,-0.263,1.639,-0.915,-0.406,-0.159,0.432538462,-0.689,-1.927,-2.06,-0.765,0.043,0.72,0.167,-0.204,0.621,-0.17,0.578,-0.604,-0.949,-0.403
1996,X1001,1.05,105.2,35.6,1.519,-0.493,0.104,0.623,-1.113,-0.202,-0.081,0.491,0.469,0.338,0.616,1.179,2.205,0.435,0.139,-0.672,0.063,0.352,-0.357,0.51,0.302,0.471,1.501,-0.656,1.933,1.362,0.372,0.409230769,1.784,-1.719,0.569,1.495,0.91,-1.382,0.642,1.437,-0.398,-0.85,-0.524,1.319,0.944,0.325153846,-3.106,-0.346,-1.879,-0.767,1.439,-0.639,-0.563,0.261,-1.136,-2.124,-0.423,-0.82,-1.199,-0.869384615,-0.243,-0.778,-0.571,1.997,-0.771,-0.046,0.982,1.308,0.013,-1.231,0.026,-0.42,0.813,0.083
1997,X1001,0.773,105.2,35.6,0.377,-0.834,-0.663,0.434,-1.051,-0.127,-0.047,0.282,0.968,-1.707,-0.962,-0.933,0.231,-0.310153846,-1.488,0.925,-0.494,0.441,1.531,-0.129,-0.497,-0.814,0.218,-0.135,-0.523,1.713,-1.297,-0.042230769,0.167,0.433,-1.107,0.701,0.461,-0.123,0.902,0.778,0.491,-1.347,-0.253,0.277,0.585,0.151153846,-0.786,-0.648,-0.247,0.05,1.203,0.656,-1.653,-0.596,0.755,0.088,0.799,-0.285,-1.368,-0.156307692,0.59,0.061,-1.548,0.308,-1.333,-1.915,0.789,-1.037,-1.743,2.028,0.439,-0.922,1.231,-0.234769231
1998,X1001,1.165,105.2,35.6,-2.052,0.271,2.007,0.386,0.525,1.059,-1.949,-0.401,-0.296,0.246,-1.229,-0.048,0.376,-0.085,-0.133,-0.645,0.685,-1.307,0.042,-0.505,-1.186,0.811,-1.61,0.676,1.792,-2.18,0.027,-0.271769231,0.186,0.111,-1.413,-0.08,1.71,1.233,-0.927,-0.051,1.03,1.411,-0.461,0.936,0.215,0.3,-2.814,0.686,-2.341,-1.475,-0.376,-0.943,1.077,-0.312,-0.955,1.771,0.76,0.191,-0.563,-0.407230769,0.31,0.181,0.296,-0.208,2.549,-0.887,0.953,-0.291,0.202,-1.495,1.179,-0.748,-1.152,0.068384615
1999,X1001,0.998,105.2,35.6,-1.364,0.157,-0.272,1.291,-0.686,-1.167,-0.674,0.173,-0.728,-1.568,-0.959,0.853,-1.193,-0.472076923,-0.24,0.617,-0.482,0.467,1.86,-1.41,-1.525,1.218,1.562,0.132,-0.466,0.81,-1.692,0.065461538,0.035,-0.029,-0.253,-0.35,2.468,-0.941,1.057,0.347,-0.742,-0.056,-2.642,-0.536,0.1,-0.118615385,-0.956,0.838,-0.577,-0.639,-2.137,-0.685,1.25,1.766,1.069,-0.399,1.081,-0.377,-0.589,-0.027307692,-0.175,1.052,-0.441,-0.549,-0.965,-1.642,-0.915,-1.495,-0.683,-1.573,-1.284,-0.285,-1.819,-0.828769231
2000,X1001,0.874,105.2,35.6,-0.201,0.63,-1.214,-1.002,0.993,-0.558,-1.49,1.369,2.476,-0.231,0.58,-0.411,1.133,0.159538462,0.972,0.034,-0.565,-1.073,0.335,-1.544,-1.816,0.742,0.311,0.69,0.427,0.947,0.474,-0.005076923,-1.179,0.157,-1.743,-0.455,0.625,0.617,-0.722,-2.093,0.749,0.255,1.325,-1.139,2.414,-0.091461538,0.475,0.034,-0.191,-3.245,-1.522,0.229,1.133,0.122,-1.177,-0.816,-0.164,2.704,-0.056,-0.190307692,-0.531,1.056,-0.343,0.164,-0.694,1.126,-0.273,0.352,0.156,-0.3,1.749,-0.975,-0.997,0.037692308
2001,X1001,1.118,105.2,35.6,0.866,-0.396,-0.141,-1.105,0.039,1.488,-1.606,1.299,0.519,-1.757,0.433,-0.367,1.839,0.085461538,-0.642,-0.85,-0.254,0.459,-0.19,0.699,-1.718,1.177,-0.276,-1.391,0.523,0.693,-1.759,-0.271461538,-1.158,-0.414,-0.887,-0.804,-0.179,-0.282,-0.183,-1.381,-0.369,0.458,0.859,-0.951,-0.262,-0.427153846,1.166,0.959,-0.21,-0.099,2.026,0.498,1.97,1.108,-1.885,0.208,-0.179,0.148,-0.345,0.412692308,-0.895,-0.565,-1.122,-0.33,-0.753,0.09,2.418,-0.339,-1.246,-0.764,-0.342,1.519,-0.723,-0.234769231
2002,X1001,1.158,105.2,35.6,-0.102,0.899,-1.005,0.592,0.536,1.359,-0.494,-0.456,-0.904,-0.64,-0.569,0.44,1.528,0.091076923,-0.664,0.948,-0.76,-0.619,1.012,-0.318,0.04,0.304,0.725,-0.83,-1.177,1.128,0.267,0.004307692,-0.584,1.77,1.95,0.546,1.27,-1.967,-0.359,-1.658,0.475,-1.749,0.242,-0.784,-0.24,-0.083692308,0.258,-0.714,-1.299,1.855,-0.423,1.882,-0.114,0.791,-0.232,-0.844,-1.564,-0.818,0.182,-0.08,-0.965,0.635,-0.312,0.105,0.994,0.352,-0.491,0.639,0.147,-1.116,0.449,0.38,-0.496,0.024692308
2003,X1001,1.191,105.2,35.6,0.624,-0.831,0.156,-0.12,-0.524,1.163,-0.161,0.011,0.931,-0.776,-0.369,0.139,-2.024,-0.137,-1.973,0.723,0.154,-0.68,0.53,-1.514,1.122,1.019,-1.25,-0.155,-0.737,-0.147,0.01,-0.222923077,0.463,0.357,0.047,0.238,0.747,-0.06,-2.103,1.057,-0.425,-0.123,-1.278,-1.572,0.24,-0.185538462,-0.801,1.354,-0.443,-1.019,-0.18,-0.402,0.848,-1.075,-0.361,-1.645,1.185,-0.072,1.452,-0.089153846,0.602,0.495,-1.757,0.186,0.313,-1.18,-0.39,0.884,-0.025,2.587,-1.826,-0.644,1.897,0.087846154
2004,X1001,1.197,105.2,35.6,0.959,-0.331,0.234,0.074,-1.151,1.662,0.284,-1.454,0.062,0.555,0.978,-0.249,-1.041,0.044769231,0.62,-0.869,-0.097,0.414,-0.556,0.515,0.354,1.404,0.002,-1.574,1.866,-0.288,0.932,0.209461538,0.263,-0.021,0.857,1.087,2.12,0.342,-0.357,0.794,1.64,0.894,1.345,1.04,0.972,0.844307692,0.349,-0.817,-0.178,0.138,0.063,-1.3,0.021,-0.567,-0.098,-0.501,1.038,-0.747,1.764,-0.064230769,0.328,1.2,1.158,-0.457,-0.788,0.651,0.498,1.146,-0.891,-0.942,-0.269,-0.354,0.002,0.098615385
2005,X1001,1.179,105.2,35.6,1.671,0.741,0.356,0.741,0.915,0.204,1.091,-0.728,0.827,-0.582,-0.307,-0.209,0.098,0.370615385,1.089,0.038,-0.296,0.366,0.702,0.79,-1.932,-0.968,0.283,0.191,-0.024,1.019,2.372,0.279230769,1.218,-1.06,-1.622,-0.574,0.347,-0.22,-2.073,1.106,1.006,0.535,0.642,-0.689,-0.008,-0.107076923,0.195,0.769,-0.957,-0.805,-1.15,0.625,-0.338,-0.225,-0.191,-2.319,-1.078,1.027,-0.881,-0.409846154,-0.95,0.017,-0.843,1.21,-0.088,1.904,0.58,0.049,-2.974,1.195,-0.285,-1.108,0.152,-0.087769231
2006,X1001,1.049,105.2,35.6,0.056,0.99,-1.622,0.753,0.238,-0.582,0.444,2.008,0.052,-0.769,-0.058,0.251,0.697,0.189076923,-0.226,2.522,0.464,-0.249,0.631,-2.151,0.086,1.519,-2.921,0.922,1.061,-0.677,-1.793,-0.062461538,-0.891,-0.982,-2.176,-1.519,-0.164,0.127,-1.497,0.74,-0.194,1.253,0.624,-1.768,0.04,-0.492846154,0.294,-0.71,-0.263,0.476,-0.137,-1.432,-0.48,-1.099,-1.615,-0.925,-0.028,0.213,-0.74,-0.495846154,1.38,0.472,-0.79,2.368,1.209,-0.51,-0.711,-0.152,-0.286,1.427,1.023,2.008,-0.11,0.563692308
